table_name,has_tenant_id,tenant_id_nullable,null_tenant_count,total_rows,has_tenant_index,tenant_index_name,risk_level,notes
account_history,Yes,No,0,48,Yes,idx_tenant,Low,
alerts,No,-,-,100,-,-,Low,全局数据(设计决策)
alert_reads,No,-,-,46,-,-,Low,全局数据(设计决策)
audit_logs,Yes,No,0,5630,Yes,idx_tenant,Low,
navigations,Yes,No,0,10,No,-,High,缺少tenant_id索引
notices,Yes,No,0,10,No,-,High,缺少tenant_id索引
roles,Yes,No(blank=True),0,3,Yes,idx_tenant,Low,空字符串表示平台级
tdyw_account_signatures,Yes,No,0,4,Yes,idx_tenant,Low,
tdyw_announcements,Yes,No,0,1,No,-,High,缺少tenant_id索引
tdyw_announcement_reads,Yes,No,0,0,No,-,High,缺少tenant_id索引
tdyw_announcement_scopes,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_contract_agreement,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_contract_agreement_reminder_ack,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_department_duty_log,No,-,-,0,-,-,Low,全局共享(设计决策)
tdyw_device_event,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_device_resume,Yes,No,0,10,Yes,idx_tenant,Low,
tdyw_document_file_private,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_document_file_public,No,-,-,8,-,-,Low,公共空间(设计决策)
tdyw_document_folder_private,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_document_folder_public,No,-,-,8,-,-,Low,公共空间(设计决策)
tdyw_document_system_folder,No,-,-,0,-,-,Low,全局系统文件夹(设计决策)
tdyw_document_transfer,Yes,No,0,558,Yes,idx_tenant,Low,
tdyw_duty_records,Yes,No,0,0,No,-,High,缺少tenant_id索引
tdyw_evidence_attachments,Yes,No,0,4,Yes,idx_tenant,Low,
tdyw_evidence_events,Yes,No,0,7,Yes,idx_tenant,Low,
tdyw_fault_parts,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_fault_records,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_interferences,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_radio_license,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_radio_license_frequency,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_radio_license_reminder_ack,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_radio_license_version,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_regulation,No,-,-,1,-,-,Low,全局数据(设计决策)
tdyw_regulation_attachment,No,-,-,0,-,-,Low,全局数据(设计决策)
tdyw_regulation_category,No,-,-,2,-,-,Low,全局数据(设计决策)
tdyw_reminders,Yes,No,0,0,No,-,High,缺少tenant_id索引
tdyw_reminder_logs,No,-,-,0,-,-,Medium,间接隔离(通过FK)
tdyw_run_logs,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_run_log_event_types,No,-,-,0,-,-,Low,全局配置(设计决策)
tdyw_run_log_updates,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_signature_usages,Yes,No,0,5,Yes,idx_tenant,Low,
tdyw_station_frequency_approval,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_station_frequency_approval_reminder_ack,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_upgrade_plan_steps,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_upgrade_records,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_upgrade_record_steps,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_upgrade_status_logs,Yes,No,0,0,Yes,idx_tenant,Low,
tdyw_upgrade_systems,Yes,No,0,10,Yes,idx_tenant,Low,
tdyw_upgrade_templates,Yes,No,0,0,Yes,idx_tenant,Low,
user_role_rel,No,-,-,2,-,-,Low,M2M映射表
user_settings,No,-,-,0,-,-,Low,全局数据(设计决策)
users,Yes,No,0,42,Yes,idx_tenant,Low,
