module_key,中文名称,backend_path,frontend_path,menu_path,primary_models,database_tables,api_prefix,permission_prefix,tenant_aware,soft_delete_strategy,attachment_support,export_support,cache_usage,background_job_usage,existing_test_files,lifecycle_status,notes
account,账户管理,spug_api/apps/account,spug_web/src/pages/system,系统管理>账户管理,"User; Role; RolePolicy; Tenant; LoginLog; Department","accounts_user; accounts_role; accounts_role_policy; accounts_tenant; accounts_login_log; accounts_department",/api/account/,system.account|system.role|system.tenant|system.login,yes,is_deleted+deleted_at,no,no,Redis perms_{id} 版本化权限缓存,no,"apps/account/tests/test_account.py; apps/account/tests/test_role.py; apps/account/tests/test_tenant.py; apps/account/tests/test_dept.py; apps/account/tests/test_login.py; apps/account/tests/test_permission.py; apps/account/tests/test_token.py; apps/account/tests/test_self.py; apps/account/tests/test_sms.py",active,AdminView+PERM_MAP 权限模式; 不使用@auth装饰器
alert,系统告警,spug_api/apps/alert,spug_web/src/pages/maintenance,运维管理>系统告警,"AlertRule; AlertRecord","alert_alertrule; alert_alertrecord",/api/alert/,system.alert,no,none,no,no,Redis 磁盘用量缓存60s,ALERT_BEAT_SCHEDULE(磁盘/DB监控/数据质量巡检),apps/alert/tests/test_alert.py,active,GLOBAL租户; AdminView+PERM_MAP
contract_agreement,合同协议,spug_api/apps/contract_agreement,spug_web/src/pages/contractAgreement,合同协议,"ContractAgreement","contract_agreement_contractagreement",/api/contract-agreement/,contract_agreement.agreement,yes,is_deleted+deleted_at,yes(EvidenceAttachment),no,no,no,CONTRACT_AGREEMENT_BEAT_SCHEDULE(到期提醒),"apps/contract_agreement/tests/test_dedup.py; apps/contract_agreement/tests/test_crud.py; apps/contract_agreement/tests/test_approval.py; apps/contract_agreement/tests/test_soft_delete.py; apps/contract_agreement/tests/test_attachment_integration.py; apps/contract_agreement/tests/test_concurrency.py; apps/contract_agreement/tests/test_audit_log.py; apps/contract_agreement/tests/test_export.py; apps/contract_agreement/tests/test_import.py; apps/contract_agreement/tests/test_schedule.py; apps/contract_agreement/tests/test_validate.py; apps/contract_agreement/tests/test_scan_and_audit.py",active,View+@auth; 8项审计修复完成
data_analysis,数据分析,spug_api/apps/data_analysis,spug_web/src/pages/dataAnalysis,数据分析,(无模型),无,/api/data-analysis/,data_analysis.*,no,none,no,yes(前端导出),Redis 60s聚合缓存,no,apps/data_analysis/tests/test_api.py,active,纯只读聚合; 无model/migration; 跨app查询
department_duty_log,部门值班日志,spug_api/apps/department_duty_log,spug_web/src/pages/departmentDutyLog,部门值班日志,"DepartmentDutyLog; DutyLogSign","department_duty_log_departmentdutylog; department_duty_log_dutylogsign",/api/department-duty-log/,department_duty_log.*,yes,is_deleted+deleted_at,yes(EvidenceAttachment),no,no,no,no,"apps/department_duty_log/tests/test_soft_delete.py; apps/department_duty_log/tests/test_sign.py; apps/department_duty_log/tests/test_dedup.py; apps/department_duty_log/tests/test_concurrency.py; apps/department_duty_log/tests/test_full.py; apps/department_duty_log/tests/test_list.py; apps/department_duty_log/tests/test_constraints.py; apps/department_duty_log/tests/test_permission.py; apps/department_duty_log/tests/test_list_full.py; apps/department_duty_log/tests/test_sign_concurrency.py; apps/department_duty_log/tests/test_dedup_edge.py; apps/department_duty_log/tests/test_validate.py; apps/department_duty_log/tests/test_import.py",active,114/114 PASS; CheckConstraint+竞态+幂等
device,设备台账/履历,spug_api/apps/device,spug_web/src/pages/device,设备履历,"DeviceResume; DeviceHistory","device_deviceresume; device_devicehistory",/api/device/,device.device_resume|device.device_history,yes,is_deleted+deleted_at,no,no,no,no,no,"apps/device/tests/test_device.py; apps/device/tests/test_crud.py; apps/device/tests/test_soft_delete.py; apps/device/tests/test_dedup.py; apps/device/tests/test_concurrency.py; apps/device/tests/test_permission.py; apps/device/tests/test_audit.py; apps/device/tests/test_validate.py; apps/device/tests/test_list.py",active,View+@auth; 未加dedup(2026-08-01发现)
document,资料库/文档管理,spug_api/apps/document,spug_web/src/pages/document,资料库,"DocumentFilePrivate; DocumentFilePublic; DocumentFolderPrivate; DocumentFolderPublic; DocumentTransfer; DocumentSystemFolder","document_documentfileprivate; document_documentfilepublic; document_documentfolderprivate; document_documentfolderpublic; document_documenttransfer; document_documentsystemfolder",/api/document/,document.document|document.party_building_document,yes,is_deleted+deleted_at,yes(自有存储),no,no,DOCUMENT_BEAT_SCHEDULE(分片清理/待清理重试),"apps/document/tests/test_upload.py; apps/document/tests/test_folder.py; apps/document/tests/test_permission.py; apps/document/tests/test_chunk.py",active,分片上传/合并/秒传; 党建隔离system_scope; 自定义@document_auth
duty,值班日志,spug_api/apps/duty,spug_web/src/pages/duty,值班日志,"DutyRecord","duty_dutyrecord",/api/duty/,duty.duty,yes,is_deleted+deleted_at,no,no,no,no,apps/duty/tests/test_duty.py,active,View+@auth
evidence,附件系统,spug_api/apps/evidence,(内嵌多模块),(内嵌),EvidenceAttachment,evidence_evidenceattachment,(无独立URL),(各模块自带),yes,is_deleted+deleted_at,yes(核心功能),no,no,no,apps/evidence/tests/test_attachment.py,active,多态附件; AttachmentService; preview_token两套实现待收口
fault,故障管理,spug_api/apps/fault,spug_web/src/pages/exec/fault,故障管理,"FaultRecord; FaultPart","fault_faultrecord; fault_faultpart",/api/fault/,fault.faultrecord|fault.faultpart,yes,is_deleted+deleted_at,yes(EvidenceAttachment),no,no,no,no,"apps/fault/tests/test_fault.py; apps/fault/tests/test_crud.py; apps/fault/tests/test_soft_delete.py; apps/fault/tests/test_dedup.py; apps/fault/tests/test_concurrency.py; apps/fault/tests/test_permission.py; apps/fault/tests/test_audit.py; apps/fault/tests/test_validate.py; apps/fault/tests/test_parts.py; apps/fault/tests/test_list.py",active,View+@auth
