risk_id,module,category,description,evidence_path,evidence_line,likelihood,impact,blast_radius,test_priority,recommended_test_type,recommended_owner_conversation,notes
R001,account,权限与越权,AdminView+PERM_MAP权限模式不使用@auth装饰器 PERM_MAP字典映射可能遗漏,apps/account/views.py,,medium,high,account,P1,权限拒绝测试,验证所有PERM_MAP映射完整性,
R002,signature,权限与越权,SupperOnlyView仅校验超管身份 无细粒度权限码 非超管无法使用签名功能,apps/signature/views.py,,high,medium,signature,P2,权限拒绝测试,确认是否需要细粒度权限,
R003,evidence,权限与越权,无独立权限码 依赖各模块权限 附件操作权限分散在各模块中,apps/evidence/,,medium,medium,evidence,P2,权限拒绝测试,统一附件权限策略,
R004,reminder,权限与越权,使用_can_manage()函数校验而非@auth装饰器 非标准权限模式,apps/reminder/views.py,,low,low,reminder,P3,权限拒绝测试,标准化权限校验,
R005,alert,租户隔离,GLOBAL租户 告警规则和记录无租户隔离 所有租户共享,apps/alert/models.py,,high,high,alert,P1,租户隔离测试,确认是否需要租户隔离,
R006,logs,租户隔离,GLOBAL租户 审计日志无租户隔离 所有租户共享,apps/logs/models.py,,high,medium,logs,P2,租户隔离测试,审计日志可能需要全局可见,
R007,setting,租户隔离,GLOBAL租户 系统设置无租户隔离,apps/setting/models.py,,high,low,setting,P3,租户隔离测试,系统设置通常全局共享,
R008,document,租户隔离,公共文件(DocumentFilePublic)无tenant_id 跨租户可访问,apps/document/models.py,,high,high,document,P0,跨租户ID测试,check_public_space_permission校验是否充分,
R009,device,并发和幂等,DeviceResume未加dedup 重复提交可能创建重复设备,apps/device/views.py,,medium,medium,device,P1,重复提交测试,添加check_recent_duplicate,
R010,device,并发和幂等,DeviceHistory未加dedup 重复提交可能创建重复履历,apps/device/views.py,,medium,medium,device,P1,重复提交测试,添加check_recent_duplicate,
R011,upgrade,数据完整性,UpgradeTemplate无is_deleted字段 软删除策略不完整,apps/upgrade/models.py,,low,medium,upgrade,P2,软删除测试,确认是否需要软删除,
R012,upgrade,数据完整性,UpgradePlanStep无is_deleted字段 删除不可恢复,apps/upgrade/models.py,,low,medium,upgrade,P2,软删除测试,模板步骤是否需要恢复,
R013,document,数据完整性,DocumentTransfer无唯一约束 传输记录可能重复,apps/document/models.py,,medium,medium,document,P2,数据完整性测试,transfer_id是否需要唯一约束,
R014,signature,数据完整性,SignatureUsage无唯一约束 签名使用记录可能重复,apps/signature/models.py,,low,low,signature,P3,数据完整性测试,
R015,signature,数据完整性,EvidenceEvent无唯一约束 事件记录可能重复,apps/signature/models.py,,low,low,signature,P3,数据完整性测试,
R016,reminder,数据完整性,WeeklyReminderLog无唯一约束 每周提醒记录可能重复,apps/reminder/models.py,,medium,low,reminder,P3,数据完整性测试,Beat幂等+get_or_create缓解,
R017,alert,数据完整性,AlertRecord无唯一约束 告警记录可能重复,apps/alert/models.py,,medium,medium,alert,P2,数据完整性测试,
R018,document,状态机,DocumentTransfer status字段无DB CHECK约束 状态值不受控,apps/document/models.py,,medium,high,document,P1,状态流转测试,ALLOWED_STATUS_TRANSITIONS仅代码层,
R019,upgrade,状态机,UpgradeRecord status字段无DB CHECK约束,apps/upgrade/models.py,,medium,medium,upgrade,P2,状态流转测试,
R020,document,前端错误处理,分片上传XHR回调未检查operationVersion 过期回调可覆盖新状态,spug_web/src/core/chunkUpload.js,L496+,high,high,document,P0,并发测试,已识别但未修复,
R021,document,前端错误处理,ALLOWED_STATUS_TRANSITIONS缺失UPLOADING->COMPLETED 小文件上传完成后卡UPLOADING,apps/document/models.py,,high,high,document,P0,状态流转测试,已识别但未修复,
R022,document,并发和幂等,mergeChunks递归重试无深度限制 retryCount/retryDepth缺失,spug_web/src/core/chunkUpload.js,,medium,high,document,P1,并发测试,添加重试深度限制,
R023,evidence,附件和存储,preview_token两套独立实现待收口 document/libs vs evidence/attachment_preview_token,apps/evidence/ + apps/document/,,low,medium,evidence,P3,重构测试,统一为单实现,
R024,document,附件和存储,DocumentFilePrivate使用hard_delete+物理删除 删除后不可恢复,apps/document/views.py,,high,high,document,P1,附件测试,is_pending_clean异步重试,
R025,regulation,附件和存储,使用独立storage.py而非EvidenceAttachment 附件管理不统一,apps/regulation/storage.py,,low,low,regulation,P3,重构测试,统一附件架构,
R026,document,性能,分片上传链路复杂 分片/合并/秒传/断点续传 大文件上传可能超时,apps/document/,,medium,high,document,P1,性能测试,Locust压测大文件上传,
R027,account,性能,LoginLog无索引 查询登录日志可能全表扫描,apps/account/models.py,,medium,low,account,P3,性能测试,添加索引,
R028,data_analysis,性能,跨app聚合查询无优化 5个API都跨app查询可能慢,apps/data_analysis/views.py,,medium,medium,data_analysis,P2,性能测试,Redis 60s缓存缓解,
R029,document,可恢复性,物理文件删除不可逆 transaction.atomic不能回滚物理文件,apps/document/,,high,high,document,P1,异常恢复测试,is_pending_clean标记+Celery重试,
R030,alert,可恢复性,AlertRule使用hard_delete 删除后不可恢复,apps/alert/views.py,,low,low,alert,P3,软删除测试,确认是否需要软删除,
R031,evidence,可恢复性,EvidenceAttachment使用hard_delete 附件删除后不可恢复,apps/evidence/,,high,medium,evidence,P2,软删除测试,物理文件删除+DB记录删除,
R032,home,历史兼容代码,22项审计修复已完成 但PERM_MAP模式非标准,apps/home/views.py,,low,low,home,P3,回归测试,18/18PASS已验证,
R033,document,历史兼容代码,回收站功能已移除但is_deleted/deleted_at字段保留 模型层冗余,apps/document/models.py,,low,low,document,P3,回归测试,避免migration+unique_key逻辑破坏,
R034,upgrade,数据完整性,UpgradeRecordStep的deleted_by为CharField非FK 类型不一致,apps/upgrade/models.py,,low,low,upgrade,P3,数据完整性测试,与其他模型deleted_by类型不统一,
R035,document,缓存,分片上传状态使用Redis缓存 缓存失效可能导致上传中断,apps/document/,,medium,medium,document,P2,缓存隔离测试,Redis down时上传状态丢失,
R036,account,缓存,权限缓存在Redis perms_{id} 修改权限后需更新版本号 否则缓存不一致,apps/account/,,medium,high,account,P1,缓存隔离测试,验证版本号更新机制,
R037,document,导入导出,document模块无导入功能 数据导入需要手动操作,apps/document/,,low,low,document,P3,导入导出测试,确认是否需要,
R038,multiple,导入导出,多个模块导出功能无测试覆盖 仅interference/radio_license/regulation有,apps/*/,,medium,medium,multiple,P2,导入导出测试,补充导出测试,
R039,document,状态机,DocumentTransfer的file_id为逻辑外键 无DB级FK约束 孤儿数据风险,apps/document/models.py,,medium,high,document,P1,数据完整性测试,文件删除后transfer可能成孤儿,
R040,device,数据完整性,DeviceHistory的device_id为逻辑外键 无DB级FK约束,apps/device/models.py,,medium,medium,device,P2,数据完整性测试,设备删除后history可能成孤儿,
R041,fault,数据完整性,FaultRecord的device_id为逻辑外键 无DB级FK约束,apps/fault/models.py,,medium,medium,fault,P2,数据完整性测试,
R042,upgrade,数据完整性,UpgradePlanStep的template_id为逻辑外键 无DB级FK约束,apps/upgrade/models.py,,medium,medium,upgrade,P2,数据完整性测试,
R043,upgrade,数据完整性,UpgradeStatusLog的upgrade_id为逻辑外键 无DB级FK约束,apps/upgrade/models.py,,medium,medium,upgrade,P2,数据完整性测试,
R044,document,状态机,分片合并COMPLETED分支文件记录验证已修复 但仍需回归测试,apps/document/views/direct_merge.py,L123-149,low,high,document,P2,状态流转测试,2026-08-05修复,
R045,multiple,权限与越权,部分模块使用AdminView+PERM_MAP部分使用@auth 权限模式不统一,multiple,,low,low,multiple,P3,权限一致性审计,长期统一为@auth,
