id,path,line,secret_type,tracked,status,severity,recommendation
SS-001,quality/reports/e2e/artifacts/run-/permissions-permissions-Pe-d1676-agement-route-requires-auth-chromium/error-context.md,N/A,password,was_tracked,REMOVED_FROM_TRACKING,CRITICAL,密码已进入Git提交eb8ecf00需更换并考虑清理历史
SS-002,quality/reports/e2e/artifacts/run-v3/permissions-permissions-Pe-d1676-agement-route-requires-auth-chromium/error-context.md,N/A,password,was_tracked,REMOVED_FROM_TRACKING,CRITICAL,密码已进入Git提交eb8ecf00需更换并考虑清理历史
SS-003,quality/reports/e2e/artifacts/（共14个error-context.md文件）,N/A,password,was_tracked,REMOVED_FROM_TRACKING,CRITICAL,14个Git跟踪文件已从跟踪中移除但密码仍在Git历史中
SS-004,quality/e2e/environments/local.example.env,N/A,N/A,yes,CLEAN,N/A,不包含真实密码
SS-005,quality/e2e/environments/test.example.env,N/A,N/A,yes,CLEAN,N/A,不包含真实密码
SS-006,quality/disaster_recovery/disaster-recovery.example.env,N/A,N/A,yes,CLEAN,N/A,不包含真实密码
SS-007,quality/e2e/.env,N/A,N/A,no,IGNORED,N/A,被.gitignore正确忽略
SS-008,quality/tenant_isolation/factories/users.py,59,password,yes,TEST_ONLY,LOW,测试工厂密码仅用于创建测试用户
SS-009,quality/e2e/tests/smoke/smoke.spec.js,N/A,N/A,yes,CLEAN,N/A,源码已修复使用env变量替代硬编码
SS-010,quality/disaster_recovery/helpers/redaction.py,N/A,N/A,yes,CLEAN,N/A,脱敏工具含模式定义非真实密码
