check_id,category,status,blocking,evidence,reason
INPUT-001,input_validation,PASS,False,JSON parsed successfully; all required data fields present and valid; no secret_value fields,Input is valid and consumable by release gate
WP-WP1,work_packages,PASS,False,"WP1 final_status=PASS, blocking_findings=0",全系统盘点与测试规划: passed
WP-WP2,work_packages,BLOCKED,True,WP2 final_status=NOT_REVERIFIED,日常业务模块特征测试: not independently re-verified (blocks release)
WP-WP3,work_packages,BLOCKED,True,WP3 final_status=NOT_REVERIFIED,资料与行政业务特征测试: not independently re-verified (blocks release)
WP-WP4,work_packages,BLOCKED,True,WP4 final_status=NOT_REVERIFIED,技术运维模块重构前基线: not independently re-verified (blocks release)
WP-WP5,work_packages,BLOCKED,True,"WP5 final_status=FAIL, blocking_findings=3, fail_reason=2 CRITICAL + 1 HIGH unmitigated tenant isolation vulnerabilities",全系统租户隔离与越权测试: failed (blocking)
WP-WP6,work_packages,BLOCKED,True,"WP6 final_status=PARTIAL, warnings=2",权限一致性审计工具: partially complete (blocking)
WP-WP7,work_packages,BLOCKED,True,WP7 final_status=NOT_REVERIFIED,数据库结构与数据质量审计: not independently re-verified (blocks release)
WP-WP8,work_packages,BLOCKED,True,"WP8 final_status=FAIL, blocking_findings=1, fail_reason=Plaintext password committed to Git in eb8ecf00",Playwright 全系统端到端回归: failed (blocking)
WP-WP9,work_packages,BLOCKED,True,"WP9 final_status=PARTIAL, warnings=4",性能与灾备基线: partially complete (blocking)
SEC-001,security_findings,BLOCKED,True,"3 open CRITICAL finding(s): F-001, F-003, F-004","Open CRITICAL findings block release (severity-based, blocking field ignored)"
SEC-002,security_findings,FAIL,False,"5 open HIGH finding(s): F-002, F-005, F-006, F-007, F-008",Open HIGH findings prevent RELEASE_READY
SEC-003,security_findings,BLOCKED,True,1 unrotated secret(s): SS-001,Leaked credentials must be rotated before release
EVID-WP6-REPORT,required_evidence,BLOCKED,True,"missing_artifacts: quality/reports/permission_audit/, quality/reports/permission_audit/permission_catalog.csv, quality/reports/permission_audit/permission_mismatch.csv; blocked_check: Tool built but report not generated; artifacts_complete=False; WP6 final_status=PARTIAL",验证：WP6 权限审计报告已生成: evidence not confirmed (requires evidence.permission_audit.status=PASS)
EVID-PERF-LOAD,required_evidence,BLOCKED,True,"evidence.performance_load.status=NOT_RUN; blocked_check performance_load: Locust not installed, dev database unsafe for load testing",验证：性能负载测试已执行: evidence not confirmed (requires evidence.performance_load.status=PASS)
EVID-DR-RESTORE,required_evidence,BLOCKED,True,"evidence.disaster_recovery_restore.status=NOT_RUN; blocked_check disaster_recovery_restore: tdyw-test connects to dev database, no drill environment",验证：灾备恢复演练已执行: evidence not confirmed (requires evidence.disaster_recovery_restore.status=PASS)
EVID-WP-REVERIFICATION,required_evidence,BLOCKED,True,"NOT_REVERIFIED: WP2, WP3, WP4, WP7",验证：WP2/WP3/WP4/WP7 独立复验: 4 WP(s) not re-verified
