package_id,path,type,tracked_status,exists,parseable,purpose,last_modified,evidence,notes
WP1,outputs/system_inventory/module_inventory.csv,csv,tracked,yes,yes,模块清单,2026-08-07,20行数据,20个正式模块
WP1,outputs/system_inventory/api_inventory.csv,csv,tracked,yes,yes,API清单,2026-08-07,150+行数据,覆盖全部API
WP1,outputs/system_inventory/model_table_inventory.csv,csv,tracked,yes,yes,模型表清单,2026-08-07,45行数据,覆盖全部模型
WP1,outputs/system_inventory/permission_inventory.csv,csv,tracked,yes,yes,权限清单,2026-08-07,97行数据,覆盖全部权限
WP1,outputs/system_inventory/test_inventory.csv,csv,tracked,yes,yes,测试清单,2026-08-07,含已有测试盘点,规划文档
WP1,outputs/system_inventory/risk_register.csv,csv,tracked,yes,yes,风险登记,2026-08-07,45项风险,含严重度
WP1,outputs/system_inventory/work_packages.md,md,tracked,yes,yes,工作包规划,2026-08-07,9个工作包,规划非执行报告
WP2,spug_api/apps/department_duty_log/tests/characterization/,dir,tracked,yes,N/A,部门值班日志特征测试,2026-08-08,多个测试文件,真实行为测试
WP2,spug_api/apps/duty/tests/characterization/,dir,tracked,yes,N/A,值班日志特征测试,2026-08-08,多个测试文件,含3个expectedFailure
WP2,spug_api/apps/runlog/tests/characterization/,dir,tracked,yes,N/A,跨日事项特征测试,2026-08-08,多个测试文件,含4个expectedFailure
WP2,spug_api/apps/reminder/tests/characterization/,dir,tracked,yes,N/A,提醒事项特征测试,2026-08-08,多个测试文件,真实行为测试
WP2,spug_api/apps/home/tests/characterization/,dir,tracked,yes,N/A,公告特征测试,2026-08-08,多个测试文件,真实行为测试
WP2,quality/reports/daily_business/日常业务模块特征测试报告.md,md,tracked,yes,yes,测试报告,2026-08-08,279项测试,272通过7expectedFailure
WP2,quality/reports/daily_business/test_case_inventory.csv,csv,tracked,yes,yes,测试用例清单,2026-08-08,279行,可解析
WP2,quality/reports/daily_business/behavior_inventory.csv,csv,tracked,yes,yes,行为清单,2026-08-08,可解析,
WP2,quality/reports/daily_business/defect_candidates.csv,csv,tracked,yes,yes,缺陷候选,2026-08-08,3个缺陷,可解析
WP2,quality/reports/daily_business/coverage_gaps.md,md,tracked,yes,yes,覆盖缺口,2026-08-08,,
WP3,spug_api/apps/radio_license/tests/characterization/,dir,tracked,yes,N/A,执照特征测试,2026-08-08,多个测试文件,真实行为测试
WP3,spug_api/apps/contract_agreement/tests/characterization/,dir,tracked,yes,N/A,合同特征测试,2026-08-08,多个测试文件,真实行为测试
WP3,spug_api/apps/document/tests/characterization/,dir,tracked,yes,N/A,资料库特征测试,2026-08-08,多个测试文件,真实行为测试
WP3,spug_api/apps/regulation/tests/characterization/,dir,tracked,yes,N/A,规章特征测试,2026-08-08,多个测试文件,真实行为测试
WP3,quality/reports/document_admin/资料与行政业务特征测试报告.md,md,tracked,yes,yes,测试报告,2026-08-08,124项测试全通过,
WP3,quality/reports/document_admin/test_case_inventory.csv,csv,tracked,yes,yes,测试用例清单,2026-08-08,124行,可解析
WP3,quality/reports/document_admin/file_operation_matrix.csv,csv,tracked,yes,yes,文件操作矩阵,2026-08-08,可解析,
WP3,quality/reports/document_admin/coverage_gaps.md,md,tracked,yes,yes,覆盖缺口,2026-08-08,,
WP4,spug_api/apps/device/tests/stable_contract/,dir,tracked,yes,N/A,设备稳定契约测试,2026-08-08,多个测试文件,长期不变量
WP4,spug_api/apps/device/tests/legacy_characterization/,dir,tracked,yes,N/A,设备旧架构基线,2026-08-08,多个测试文件,含1个skip
WP4,spug_api/apps/fault/tests/stable_contract/,dir,tracked,yes,N/A,故障稳定契约测试,2026-08-08,多个测试文件,
